season,fullName,total_runs,HS,four's,sixe's,100s,50s,strikerate,no_of_boundaries,boundary%
2023,Devon Conway,672,92,77,18,0,6,117.23,95,14.13690476
2023,Ruturaj Gaikwad,590,92,46,30,0,4,139.37,76,12.88135593
2023,Moeen Ali,124,23,12,6,0,0,135.42,18,14.51612903
2023,Ben Stokes,15,8,2,0,0,0,108.33,2,13.33333333
2023,Ambati Rayudu,158,27,10,9,0,0,127.42,19,12.02531646
2023,Shivam Dube,418,52,12,35,0,3,153.42,47,11.24401914
2023,Ravindra Jadeja,190,25,11,9,0,0,148.15,20,10.52631579
2023,MS Dhoni,104,32,3,10,0,0,150.87,13,12.5
2023,Mitchell Santner,2,1,0,0,0,0,66.66,0,0
2023,Ajinkya Rahane,326,71,24,16,0,2,161.45,40,12.26993865
2023,Deepak Chahar,1,1,0,0,0,0,50,0,0
2023,Tushar Deshpande,0,0,0,0,0,0,0,0,0
2022,Ruturaj Gaikwad,368,99,33,14,0,2,87.16,47,12.77173913
2022,Devon Conway,252,87,22,12,0,3,98.68,34,13.49206349
2022,Robin Uthappa,230,88,19,14,0,2,88.65,33,14.34782609
2022,Ambati Rayudu,274,78,25,15,0,1,107.05,40,14.59854015
2022,Ravindra Jadeja,116,26,6,5,0,0,94.71,11,9.482758621
2022,Shivam Dube,289,95,22,16,0,2,115.3,38,13.14878893
2022,MS Dhoni,232,50,21,10,0,1,134.26,31,13.36206897
2022,Moeen Ali,244,93,24,11,0,1,100.46,35,14.3442623
2022,Dwaine Pretorius,44,22,3,3,0,0,123.93,6,13.63636364
2022,Dwayne Bravo,23,12,1,1,0,0,90,2,8.695652174
2022,Chris Jordan,11,6,0,0,0,0,150,0,0
2022,Mukesh Choudhary,6,4,1,0,0,0,100,1,16.66666667
2022,Mitchell Santner,22,11,3,0,0,0,83.06,3,13.63636364
2022,Simarjeet Singh,7,3,0,0,0,0,88.89,0,0
2022,Maheesh Theekshana,7,7,0,1,0,0,87.5,1,14.28571429
2022,Narayan Jagadeesan,40,39,3,1,0,0,71.59,4,10
2021,Ruturaj Gaikwad,635,101,64,23,1,4,118.57,87,13.7007874
2021,Faf du Plessis,633,95,60,23,0,6,117.27,83,13.1121643
2021,Robin Uthappa,115,63,8,5,0,1,120.79,13,11.30434783
2021,Moeen Ali,357,58,31,19,0,1,122.11,50,14.00560224
2021,Shardul Thakur,5,3,0,0,0,0,87.5,0,0
2021,Ambati Rayudu,257,72,16,17,0,2,111.37,33,12.84046693
2021,MS Dhoni,114,18,12,3,0,0,106.02,15,13.15789474
2021,Ravindra Jadeja,227,62,19,9,0,1,182.79,28,12.33480176
2021,Dwayne Bravo,47,23,3,4,0,0,245.83,7,14.89361702
2021,Suresh Raina,160,54,13,9,0,1,106.91,22,13.75
2021,Sam Curran,56,34,5,3,0,0,167.08,8,14.28571429
2021,Deepak Chahar,1,1,0,0,0,0,100,0,0
2020,Murali Vijay,32,21,4,0,0,0,60.31,4,12.5
2020,Shane Watson,299,83,33,13,0,2,116.37,46,15.38461538
2020,Faf du Plessis,449,87,42,14,0,4,120.11,56,12.47216036
2020,Ambati Rayudu,359,71,30,12,0,1,120.27,42,11.69916435
2020,Ravindra Jadeja,232,50,22,11,0,1,174.94,33,14.22413793
2020,Sam Curran,186,52,12,12,0,1,138.81,24,12.90322581
2020,MS Dhoni,200,47,16,7,0,0,101.79,23,11.5
2020,Ruturaj Gaikwad,204,72,16,6,0,3,73.3,22,10.78431373
2020,Kedar Jadhav,62,26,7,0,0,0,81.35,7,11.29032258
2020,Narayan Jagadeesan,33,33,4,0,0,0,58.92,4,12.12121212
2020,Dwayne Bravo,7,7,0,0,0,0,70,0,0
2020,Deepak Chahar,7,5,0,0,0,0,66.67,0,0
2020,Shardul Thakur,12,11,0,0,0,0,77.5,0,0
